,Unnamed: 0,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
382,382,06/23/2017,242.91,243.51,242.47,243.13,0.29,+0.12%,66986800.0,True
383,383,06/22/2017,242.96,243.53,242.64,242.84,-0.11,-0.05%,44148000.0,False
384,384,06/21/2017,243.42,243.59,242.41,242.95,-0.06,-0.02%,55977500.0,False
385,385,06/20/2017,244.25,244.26,242.99,243.01,-1.65,-0.67%,56906300.0,False
386,386,06/19/2017,243.59,244.73,243.48,244.66,2.02,+0.83%,65123800.0,True
387,387,06/16/2017,242.77,242.83,241.63,242.64,-1.13,-0.46%,84553000.0,False
388,388,06/15/2017,242.68,243.91,242.36,243.77,-0.47,-0.19%,66464800.0,False
389,389,06/14/2017,244.86,244.87,243.29,244.24,-0.31,-0.13%,78602304.0,False
390,390,06/13/2017,243.98,244.61,243.58,244.55,1.19,+0.49%,60066900.0,True
391,391,06/12/2017,243.13,243.42,242.38,243.36,-0.05,-0.02%,86108096.0,False
392,392,06/09/2017,244.09,245.01,241.95,243.41,-0.37,-0.15%,132256304.0,False
393,393,06/08/2017,243.77,244.33,243.17,243.78,0.12,+0.05%,65950600.0,True
394,394,06/07/2017,243.6,243.92,242.83,243.66,0.45,+0.19%,54144300.0,True
395,395,06/06/2017,243.34,243.98,243.12,243.21,-0.78,-0.32%,50375400.0,False
396,396,06/05/2017,243.97,244.3,243.76,243.99,-0.18,-0.07%,44698800.0,False
397,397,06/02/2017,243.42,244.35,243.08,244.17,0.81,+0.33%,88666096.0,True
398,398,06/01/2017,241.97,243.38,241.64,243.36,1.92,+0.80%,68962000.0,True
399,399,05/31/2017,241.84,241.88,240.64,241.44,-0.06,-0.02%,91796000.0,False
400,400,05/30/2017,241.34,241.79,241.16,241.5,-0.21,-0.09%,35201800.0,False
401,401,05/26/2017,241.54,241.9,241.45,241.71,-0.05,-0.02%,46629900.0,False
402,402,05/25/2017,241.2,242.08,240.96,241.76,1.15,+0.48%,64071600.0,True
403,403,05/24/2017,240.32,240.73,239.93,240.61,0.56,+0.23%,49181100.0,True
404,404,05/23/2017,239.95,240.24,239.51,240.05,0.53,+0.22%,48341600.0,True
405,405,05/22/2017,238.9,239.71,238.82,239.52,1.21,+0.51%,61010600.0,True
406,406,05/19/2017,237.33,239.08,237.27,238.31,1.54,+0.65%,115011296.0,True
407,407,05/18/2017,235.73,237.75,235.43,236.77,0.95,+0.40%,107047600.0,True
408,408,05/17/2017,238.1,238.64,235.75,235.82,-4.26,-1.77%,172174096.0,False
409,409,05/16/2017,240.64,240.67,239.63,240.08,-0.22,-0.09%,51241700.0,False
410,410,05/15/2017,239.47,240.44,239.45,240.3,1.32,+0.55%,61918900.0,True
411,411,05/12/2017,239.09,239.43,238.67,238.98,-0.4,-0.17%,53912700.0,False
412,412,05/11/2017,239.35,239.57,238.13,239.38,-0.49,-0.20%,62358300.0,False
413,413,05/10/2017,239.39,239.87,239.15,239.87,0.43,+0.18%,54293800.0,True
414,414,05/09/2017,239.96,240.19,239.04,239.44,-0.22,-0.09%,51363100.0,False
415,415,05/08/2017,239.75,239.92,239.17,239.66,-0.04,-0.02%,48385700.0,False
416,416,05/05/2017,239.19,239.72,238.68,239.7,0.94,+0.39%,62001200.0,True
417,417,05/04/2017,238.83,238.92,237.78,238.76,0.28,+0.12%,61462700.0,True
418,418,05/03/2017,238.29,238.88,237.7,238.48,-0.29,-0.12%,73137696.0,False
419,419,05/02/2017,238.84,238.98,238.3,238.77,0.09,+0.04%,57375700.0,True
420,420,05/01/2017,238.68,239.17,238.2,238.68,0.6,+0.25%,66882500.0,True
421,421,04/28/2017,238.9,238.93,237.93,238.08,-0.52,-0.22%,63532800.0,False
422,422,04/27/2017,238.77,238.95,237.98,238.6,0.2,+0.08%,57410300.0,True
423,423,04/26/2017,238.51,239.53,238.35,238.4,-0.15,-0.06%,84702400.0,False
424,424,04/25/2017,237.91,238.95,237.81,238.55,1.38,+0.58%,76698200.0,True
425,425,04/24/2017,237.18,237.41,234.56,237.17,2.58,+1.10%,119209800.0,True
426,426,04/21/2017,235.25,235.31,234.13,234.59,-0.75,-0.32%,110389800.0,False
427,427,04/20/2017,234.15,235.85,233.78,235.34,1.9,+0.81%,92572096.0,True
428,428,04/19/2017,234.52,234.95,233.18,233.44,-0.43,-0.18%,68699800.0,False
429,429,04/18/2017,233.72,234.49,233.08,233.87,-0.7,-0.30%,83225800.0,False
430,430,04/17/2017,233.11,234.57,232.88,234.57,2.06,+0.89%,68405296.0,True
431,431,04/13/2017,233.64,234.49,232.51,232.51,-1.52,-0.65%,92880304.0,False
432,432,04/12/2017,234.74,234.96,233.77,234.03,-1.03,-0.44%,81864400.0,False
433,433,04/11/2017,234.9,235.18,233.34,235.06,-0.28,-0.12%,88045200.0,False
434,434,04/10/2017,235.36,236.26,234.73,235.34,0.14,+0.06%,67615296.0,True
435,435,04/07/2017,235.15,236.0,234.64,235.2,-0.24,-0.10%,74369600.0,False
436,436,04/06/2017,234.94,236.04,234.43,235.44,0.66,+0.28%,69135696.0,True
437,437,04/05/2017,236.26,237.39,234.54,234.78,-0.7,-0.30%,108800600.0,False
438,438,04/04/2017,235.0,235.58,234.55,235.48,0.15,+0.06%,56466100.0,True
439,439,04/03/2017,235.8,236.03,233.91,235.33,-0.41,-0.17%,85546400.0,False
440,440,03/31/2017,235.9,236.51,235.68,235.74,-0.55,-0.23%,73733000.0,False
441,441,03/30/2017,235.47,236.52,235.27,236.29,0.75,+0.32%,56737800.0,True
442,442,03/29/2017,234.99,235.81,234.73,235.54,0.22,+0.09%,61950300.0,True
443,443,03/28/2017,233.27,235.81,233.14,235.32,1.7,+0.73%,93483904.0,True
444,444,03/27/2017,231.93,233.92,231.61,233.62,-0.24,-0.10%,87454400.0,False
445,445,03/24/2017,234.38,235.04,232.96,233.86,-0.17,-0.07%,112504800.0,False
446,446,03/23/2017,234.0,235.34,233.6,234.03,-0.25,-0.11%,100410200.0,False
447,447,03/22/2017,233.77,234.61,233.05,234.28,0.55,+0.24%,97569200.0,True
448,448,03/21/2017,237.47,237.61,233.58,233.73,-3.04,-1.28%,131809200.0,False
449,449,03/20/2017,237.03,237.36,236.32,236.77,-0.26,-0.11%,52536900.0,False
450,450,03/17/2017,237.75,237.97,237.03,237.03,-1.45,-0.61%,89002096.0,False
